,val_loss,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/model,config/train_loop_config/seed,config/train_loop_config/hidden_channels,config/train_loop_config/num_layers,config/train_loop_config/heads,config/train_loop_config/lr,config/train_loop_config/batch_size,config/train_loop_config/scheduler,logdir
41,0.8346737027168274,1,22,1719706740,checkpoint_000001,True,True,2,5ffcc_00041,2024-06-29_17-19-00,2.980098009109497,21.099157571792603,11686,frank,128.111.185.22,21.099157571792603,2,gcn,54970,128,4,,0.003960346779809641,32,ReduceLROnPlateau,5ffcc_00041
42,0.8442353010177612,15,5632,1719706862,checkpoint_000015,True,True,16,5ffcc_00042,2024-06-29_17-21-02,8.149470090866089,138.84985494613647,13404,frank,128.111.185.22,138.84985494613647,16,gat-v4,42996,"[8, 16, 12]",4,"[2, 3, 4]",0.013990096813682861,1,LambdaLR,5ffcc_00042
43,0.871053159236908,1,22,1719706751,checkpoint_000001,True,True,2,5ffcc_00043,2024-06-29_17-19-11,3.507765293121338,22.2918484210968,14808,frank,128.111.185.22,22.2918484210968,2,gat,10441,256,4,4,0.00010951454198502534,32,ReduceLROnPlateau,5ffcc_00043
44,1.3487977981567383,1,22,1719706751,checkpoint_000001,True,True,2,5ffcc_00044,2024-06-29_17-19-11,2.0953752994537354,18.994377851486206,15443,frank,128.111.185.22,18.994377851486206,2,gcn,51021,32,3,,0.0002995337972040789,32,LambdaLR,5ffcc_00044
45,0.8203271627426147,15,5632,1719706889,checkpoint_000015,True,True,16,5ffcc_00045,2024-06-29_17-21-29,7.8884804248809814,143.87329578399658,19890,frank,128.111.185.22,143.87329578399658,16,gat-v4,23,"[32, 64, 64]",2,"[2, 2, 3]",0.00016414705486472953,1,ReduceLROnPlateau,5ffcc_00045
46,0.8367258906364441,1,22,1719706776,checkpoint_000001,True,True,2,5ffcc_00046,2024-06-29_17-19-36,2.468181610107422,20.07529354095459,24006,frank,128.111.185.22,20.07529354095459,2,gat,14669,8,3,2,0.012620364238004148,32,LambdaLR,5ffcc_00046
47,1.2444000244140625,1,176,1719706778,checkpoint_000001,True,True,2,5ffcc_00047,2024-06-29_17-19-38,3.0469539165496826,21.888582468032837,24007,frank,128.111.185.22,21.888582468032837,2,gcn,65417,8,3,,0.01994410458548373,4,LambdaLR,5ffcc_00047
48,0.8273927569389343,1,22,1719706789,checkpoint_000001,True,True,2,5ffcc_00048,2024-06-29_17-19-49,2.2757184505462646,20.227113008499146,27529,frank,128.111.185.22,20.227113008499146,2,gat-v4,58932,"[8, 16, 12]",4,"[2, 2, 3]",0.00745117405151287,32,LambdaLR,5ffcc_00048
49,0.8288992047309875,1,22,1719706802,checkpoint_000001,True,True,2,5ffcc_00049,2024-06-29_17-20-02,2.915809154510498,21.22613835334778,31702,frank,128.111.185.22,21.22613835334778,2,gat,64821,8,4,1,0.002467897999990808,32,LambdaLR,5ffcc_00049
50,1.8062422275543213,1,176,1719706804,checkpoint_000001,True,True,2,5ffcc_00050,2024-06-29_17-20-04,2.8901147842407227,21.13306760787964,32166,frank,128.111.185.22,21.13306760787964,2,gcn,22408,8,2,,0.00010491604791236897,4,ReduceLROnPlateau,5ffcc_00050
51,42.74794387817383,1,704,1719706827,checkpoint_000001,True,True,2,5ffcc_00051,2024-06-29_17-20-27,8.351847171783447,32.747272968292236,35075,frank,128.111.185.22,32.747272968292236,2,gat-v4,45965,"[64, 128, 128]",3,"[2, 3, 4]",0.02306189760099435,1,ReduceLROnPlateau,5ffcc_00051
52,0.8636357188224792,1,44,1719706830,checkpoint_000001,True,True,2,5ffcc_00052,2024-06-29_17-20-30,3.285982370376587,22.245750904083252,39682,frank,128.111.185.22,22.245750904083252,2,gat,51749,256,3,4,0.00017360221493101726,16,ReduceLROnPlateau,5ffcc_00052
53,0.7956442832946777,49,4400,1719706986,checkpoint_000049,True,True,50,5ffcc_00053,2024-06-29_17-23-06,3.9778525829315186,175.4991204738617,40006,frank,128.111.185.22,175.4991204738617,50,gcn,33082,8,4,,0.00986441423554872,4,LambdaLR,5ffcc_00053
54,0.8189206123352051,15,5632,1719706965,checkpoint_000015,True,True,16,5ffcc_00054,2024-06-29_17-22-45,9.42816424369812,152.21328997612,40710,frank,128.111.185.22,152.21328997612,16,gat-v4,26830,"[8, 16, 12]",2,"[2, 3, 4]",0.00026813005690872886,1,LambdaLR,5ffcc_00054
55,0.8955354690551758,1,44,1719706854,checkpoint_000001,True,True,2,5ffcc_00055,2024-06-29_17-20-54,3.242896556854248,22.266994953155518,47857,frank,128.111.185.22,22.266994953155518,2,gat,48631,128,3,2,0.0001781065285653728,16,ReduceLROnPlateau,5ffcc_00055
56,0.8741254210472107,1,704,1719706861,checkpoint_000001,True,True,2,5ffcc_00056,2024-06-29_17-21-01,4.904651880264282,24.918567657470703,48647,frank,128.111.185.22,24.918567657470703,2,gcn,10388,128,3,,0.00020455608347594195,1,ReduceLROnPlateau,5ffcc_00056
57,0.8234076499938965,1,704,1719706891,checkpoint_000001,True,True,2,5ffcc_00057,2024-06-29_17-21-31,7.512779474258423,30.181169748306274,55502,frank,128.111.185.22,30.181169748306274,2,gat-v4,63478,"[8, 16, 12]",4,"[2, 3, 4]",0.0005546861090081782,1,ReduceLROnPlateau,5ffcc_00057
58,0.8851919174194336,1,44,1719706880,checkpoint_000001,True,True,2,5ffcc_00058,2024-06-29_17-21-20,2.3964669704437256,20.15368914604187,55504,frank,128.111.185.22,20.15368914604187,2,gat,6643,8,4,2,0.0014805503039925973,16,LambdaLR,5ffcc_00058
59,0.8288047313690186,1,22,1719706888,checkpoint_000001,True,True,2,5ffcc_00059,2024-06-29_17-21-28,3.153644323348999,22.269752264022827,56659,frank,128.111.185.22,22.269752264022827,2,gcn,8094,8,4,,0.008618102749050185,32,LambdaLR,5ffcc_00059
60,65390.67578125,1,22,1719706889,checkpoint_000001,True,True,2,5ffcc_00060,2024-06-29_17-21-29,2.716066360473633,20.7406485080719,56998,frank,128.111.185.22,20.7406485080719,2,gat-v4,27438,"[8, 16, 12]",3,"[4, 4, 4]",0.06397680180499178,32,LambdaLR,5ffcc_00060
