,val_loss,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/model,config/train_loop_config/seed,config/train_loop_config/hidden_channels,config/train_loop_config/num_layers,config/train_loop_config/heads,config/train_loop_config/lr,config/train_loop_config/batch_size,config/train_loop_config/scheduler,config/train_loop_config/dropout,logdir
97,0.8061465620994568,3,352,1719708610,checkpoint_000003,True,True,4,adffa_00097,2024-06-29_17-50-10,3.1993675231933594,28.13934850692749,355797,frank,128.111.185.22,28.13934850692749,4,gat,41623,32,2,1,0.04672666659762311,4,LambdaLR,0.8,adffa_00097
98,0.8295673131942749,3,1408,1719708626,checkpoint_000003,True,True,4,adffa_00098,2024-06-29_17-50-26,4.744725704193115,33.6173255443573,358482,frank,128.111.185.22,33.6173255443573,4,gcn,51874,128,3,,0.003962826043921301,1,CosineAnnealingLR,0.1,adffa_00098
99,0.8721950054168701,3,44,1719708625,checkpoint_000003,True,True,4,adffa_00099,2024-06-29_17-50-25,3.429241895675659,28.600020170211792,360103,frank,128.111.185.22,28.600020170211792,4,gat-v4,24089,"[8, 16, 12]",2,"[2, 2, 3]",0.00026140402850758786,32,LambdaLR,0.3,adffa_00099
100,0.8630407452583313,3,88,1719708639,checkpoint_000003,True,True,4,adffa_00100,2024-06-29_17-50-39,3.253518581390381,28.82526159286499,364658,frank,128.111.185.22,28.82526159286499,4,gat,20321,8,3,1,0.02131147930951733,16,ExponentialLR,0.3,adffa_00100
101,0.859645664691925,3,88,1719708643,checkpoint_000003,True,True,4,adffa_00101,2024-06-29_17-50-43,3.106146812438965,27.80414319038391,366670,frank,128.111.185.22,27.80414319038391,4,gcn,58562,8,3,,0.01681983922938323,16,ReduceLROnPlateau,0.3,adffa_00101
102,1.2978626489639282,3,88,1719708649,checkpoint_000003,True,True,4,adffa_00102,2024-06-29_17-50-49,3.049287796020508,28.52300453186035,368381,frank,128.111.185.22,28.52300453186035,4,gat-v4,6472,"[32, 64, 64]",4,"[2, 2, 3]",0.06991127413373148,16,CosineAnnealingLR,0.3,adffa_00102
103,0.828009843826294,3,44,1719708657,checkpoint_000003,True,True,4,adffa_00103,2024-06-29_17-50-57,3.210489511489868,27.189104795455933,371084,frank,128.111.185.22,27.189104795455933,4,gat,35132,128,4,1,0.000506261638022745,32,ReduceLROnPlateau,0.1,adffa_00103
104,0.8302398324012756,3,44,1719708655,checkpoint_000003,True,True,4,adffa_00104,2024-06-29_17-50-55,2.4409852027893066,24.893005847930908,371085,frank,128.111.185.22,24.893005847930908,4,gcn,50020,128,3,,0.00011741937713829966,32,StepLR,0.3,adffa_00104
105,0.7973740696907043,31,2816,1719708774,checkpoint_000031,True,True,32,adffa_00105,2024-06-29_17-52-54,3.8883562088012695,141.40463137626648,371333,frank,128.111.185.22,141.40463137626648,32,gat-v4,19537,"[64, 128, 128]",3,"[4, 4, 4]",0.00032469927704798326,4,StepLR,0.3,adffa_00105
106,205.0922088623047,3,44,1719708660,checkpoint_000003,True,True,4,adffa_00106,2024-06-29_17-51-00,2.9505929946899414,26.724180936813354,371538,frank,128.111.185.22,26.724180936813354,4,gat,15546,256,3,1,0.05319675557048177,32,ExponentialLR,0.3,adffa_00106
107,0.8348503708839417,3,352,1719708674,checkpoint_000003,True,True,4,adffa_00107,2024-06-29_17-51-14,3.571068286895752,29.601842641830444,375415,frank,128.111.185.22,29.601842641830444,4,gcn,58360,32,3,,0.000414812543345432,4,ExponentialLR,0.1,adffa_00107
108,0.8165778517723083,3,1408,1719708696,checkpoint_000003,True,True,4,adffa_00108,2024-06-29_17-51-36,8.135093212127686,47.74896430969238,375848,frank,128.111.185.22,47.74896430969238,4,gat-v4,6475,"[32, 64, 64]",4,"[2, 2, 3]",0.004838995572556872,1,LambdaLR,0.3,adffa_00108
109,1.1827139854431152,3,1408,1719708693,checkpoint_000003,True,True,4,adffa_00109,2024-06-29_17-51-33,5.832212924957275,39.0674033164978,381281,frank,128.111.185.22,39.0674033164978,4,gat,13940,256,2,2,0.006375892403588568,1,ReduceLROnPlateau,0.3,adffa_00109
110,0.9601927995681763,3,352,1719708686,checkpoint_000003,True,True,4,adffa_00110,2024-06-29_17-51-26,2.56410551071167,25.58004331588745,382417,frank,128.111.185.22,25.58004331588745,4,gcn,40875,32,2,,0.005168227033425932,4,StepLR,0.8,adffa_00110
111,0.8299546241760254,3,44,1719708688,checkpoint_000003,True,True,4,adffa_00111,2024-06-29_17-51-28,2.4042983055114746,25.025943994522095,383275,frank,128.111.185.22,25.025943994522095,4,gat-v4,45332,"[32, 64, 64]",2,"[4, 4, 4]",0.027821776822012347,32,StepLR,0.3,adffa_00111
112,0.835955798625946,3,44,1719708691,checkpoint_000003,True,True,4,adffa_00112,2024-06-29_17-51-31,2.4435439109802246,25.147236585617065,384487,frank,128.111.185.22,25.147236585617065,4,gat,18554,256,2,4,0.0010619553757447652,32,ReduceLROnPlateau,0.8,adffa_00112
113,0.8609302639961243,3,88,1719708707,checkpoint_000003,True,True,4,adffa_00113,2024-06-29_17-51-47,3.143725872039795,28.005449056625366,389079,frank,128.111.185.22,28.005449056625366,4,gcn,27473,32,4,,0.0032864474186136416,16,StepLR,0.8,adffa_00113
114,0.841792106628418,3,44,1719708720,checkpoint_000003,True,True,4,adffa_00114,2024-06-29_17-52-00,3.2243125438690186,28.79512619972229,394056,frank,128.111.185.22,28.79512619972229,4,gat-v4,5569,"[32, 64, 64]",3,"[4, 4, 4]",0.00027732146351061755,32,LambdaLR,0.3,adffa_00114
115,0.8330979347229004,3,44,1719708720,checkpoint_000003,True,True,4,adffa_00115,2024-06-29_17-52-00,2.997408390045166,26.730273723602295,394518,frank,128.111.185.22,26.730273723602295,4,gat,12960,128,4,4,0.0006479568079218931,32,ExponentialLR,0.1,adffa_00115
116,0.8143401145935059,3,1408,1719708731,checkpoint_000003,True,True,4,adffa_00116,2024-06-29_17-52-11,4.791619539260864,34.630454540252686,395048,frank,128.111.185.22,34.630454540252686,4,gcn,28658,8,3,,0.00010137563280228747,1,ExponentialLR,0.1,adffa_00116
117,0.7966479659080505,31,2816,1719708847,checkpoint_000031,True,True,32,adffa_00117,2024-06-29_17-54-07,4.171422004699707,148.96965980529785,395513,frank,128.111.185.22,148.96965980529785,32,gat-v4,13405,"[32, 64, 64]",4,"[2, 2, 3]",0.0006451840543874296,4,ExponentialLR,0.8,adffa_00117
118,1.064220905303955,3,352,1719708729,checkpoint_000003,True,True,4,adffa_00118,2024-06-29_17-52-09,3.321303606033325,28.321629524230957,396942,frank,128.111.185.22,28.321629524230957,4,gat,15662,8,4,1,0.005576548272767547,4,LambdaLR,0.1,adffa_00118
119,0.8207761645317078,3,1408,1719708748,checkpoint_000003,True,True,4,adffa_00119,2024-06-29_17-52-28,4.798464775085449,35.63109731674194,400724,frank,128.111.185.22,35.63109731674194,4,gcn,44870,32,2,,0.0009583591323082029,1,CosineAnnealingLR,0.3,adffa_00119
120,0.8059970140457153,3,352,1719708756,checkpoint_000003,True,True,4,adffa_00120,2024-06-29_17-52-36,3.959182024002075,31.28011155128479,406196,frank,128.111.185.22,31.28011155128479,4,gat-v4,16389,"[64, 128, 128]",4,"[2, 2, 3]",0.00035482938855353844,4,CosineAnnealingLR,0.3,adffa_00120
121,0.8396156430244446,3,44,1719708751,checkpoint_000003,True,True,4,adffa_00121,2024-06-29_17-52-31,2.55833101272583,25.79709529876709,406197,frank,128.111.185.22,25.79709529876709,4,gat,45110,32,3,2,0.013435495881738101,32,ReduceLROnPlateau,0.1,adffa_00121
122,0.8623592257499695,3,88,1719708760,checkpoint_000003,True,True,4,adffa_00122,2024-06-29_17-52-40,2.3362865447998047,25.186229467391968,409243,frank,128.111.185.22,25.186229467391968,4,gcn,2597,32,2,,0.0008349577040992524,16,ExponentialLR,0.3,adffa_00122
123,0.8207612633705139,3,1408,1719708783,checkpoint_000003,True,True,4,adffa_00123,2024-06-29_17-53-03,7.332327604293823,45.85953640937805,409546,frank,128.111.185.22,45.85953640937805,4,gat-v4,8955,"[32, 64, 64]",3,"[2, 3, 4]",0.00283607599726642,1,StepLR,0.1,adffa_00123
124,0.8660597205162048,3,88,1719708780,checkpoint_000003,True,True,4,adffa_00124,2024-06-29_17-53-00,2.878051280975342,26.674240112304688,414416,frank,128.111.185.22,26.674240112304688,4,gat,65186,32,3,1,0.019068418921458597,16,ReduceLROnPlateau,0.1,adffa_00124
125,0.8209324479103088,3,1408,1719708795,checkpoint_000003,True,True,4,adffa_00125,2024-06-29_17-53-15,5.764256238937378,38.94049263000488,416755,frank,128.111.185.22,38.94049263000488,4,gcn,12326,8,4,,0.0031628460135283178,1,ExponentialLR,0.1,adffa_00125
126,0.8123576045036316,3,352,1719708792,checkpoint_000003,True,True,4,adffa_00126,2024-06-29_17-53-12,3.593489408493042,29.948651790618896,418540,frank,128.111.185.22,29.948651790618896,4,gat-v4,55465,"[32, 64, 64]",2,"[2, 3, 4]",0.030318894443265985,4,ReduceLROnPlateau,0.3,adffa_00126
127,0.8599446415901184,3,88,1719708793,checkpoint_000003,True,True,4,adffa_00127,2024-06-29_17-53-13,3.059074878692627,27.683940887451172,419020,frank,128.111.185.22,27.683940887451172,4,gat,33730,256,2,4,0.00175921083865833,16,ReduceLROnPlateau,0.8,adffa_00127
128,0.883220374584198,3,88,1719708805,checkpoint_000003,True,True,4,adffa_00128,2024-06-29_17-53-25,2.433546543121338,25.692479372024536,423344,frank,128.111.185.22,25.692479372024536,4,gcn,20514,8,3,,0.006868028256524021,16,StepLR,0.1,adffa_00128
129,0.8283527493476868,3,44,1719708815,checkpoint_000003,True,True,4,adffa_00129,2024-06-29_17-53-35,3.7212841510772705,29.472059965133667,426523,frank,128.111.185.22,29.472059965133667,4,gat-v4,39446,"[64, 128, 128]",3,"[4, 4, 4]",0.001844978126954128,32,ReduceLROnPlateau,0.3,adffa_00129
130,0.8384499549865723,3,44,1719708814,checkpoint_000003,True,True,4,adffa_00130,2024-06-29_17-53-34,2.790900230407715,25.834070444107056,427087,frank,128.111.185.22,25.834070444107056,4,gat,39016,32,2,1,0.002586564371932807,32,StepLR,0.3,adffa_00130
131,0.8333425521850586,3,1408,1719708833,checkpoint_000003,True,True,4,adffa_00131,2024-06-29_17-53-53,5.149897575378418,36.45731067657471,428710,frank,128.111.185.22,36.45731067657471,4,gcn,23608,8,4,,0.011808518172064643,1,StepLR,0.3,adffa_00131
132,0.8629364967346191,3,88,1719708830,checkpoint_000003,True,True,4,adffa_00132,2024-06-29_17-53-50,3.8303561210632324,30.93345355987549,430058,frank,128.111.185.22,30.93345355987549,4,gat-v4,2740,"[64, 128, 128]",2,"[4, 4, 4]",0.0017588584455756947,16,StepLR,0.1,adffa_00132
133,0.8742921352386475,3,88,1719708829,checkpoint_000003,True,True,4,adffa_00133,2024-06-29_17-53-49,3.0558111667633057,28.3133282661438,430381,frank,128.111.185.22,28.3133282661438,4,gat,22053,32,3,2,0.00047114816830306306,16,CosineAnnealingLR,0.8,adffa_00133
134,8.4992036819458,3,88,1719708835,checkpoint_000003,True,True,4,adffa_00134,2024-06-29_17-53-55,2.2998385429382324,24.611876010894775,434092,frank,128.111.185.22,24.611876010894775,4,gcn,53516,8,2,,0.0007008939753612436,16,ReduceLROnPlateau,0.8,adffa_00134
135,0.857484757900238,3,44,1719708847,checkpoint_000003,True,True,4,adffa_00135,2024-06-29_17-54-07,3.343005895614624,27.918253421783447,437636,frank,128.111.185.22,27.918253421783447,4,gat-v4,57289,"[64, 128, 128]",4,"[2, 3, 4]",0.0006990676867513933,32,ExponentialLR,0.3,adffa_00135
136,0.9598290324211121,3,44,1719708854,checkpoint_000003,True,True,4,adffa_00136,2024-06-29_17-54-14,4.457983732223511,32.711567878723145,438926,frank,128.111.185.22,32.711567878723145,4,gat,32920,256,4,4,0.028510789892795676,32,ExponentialLR,0.1,adffa_00136
137,0.8925571441650391,3,352,1719708864,checkpoint_000003,True,True,4,adffa_00137,2024-06-29_17-54-24,3.052117347717285,29.02875065803528,442536,frank,128.111.185.22,29.02875065803528,4,gcn,31123,32,3,,0.0020711628172345974,4,StepLR,0.8,adffa_00137
138,0.8593955039978027,3,88,1719708865,checkpoint_000003,True,True,4,adffa_00138,2024-06-29_17-54-25,3.3368277549743652,29.580350399017334,442537,frank,128.111.185.22,29.580350399017334,4,gat-v4,21378,"[8, 16, 12]",3,"[2, 2, 3]",0.000123821217120358,16,StepLR,0.1,adffa_00138
139,0.8621585965156555,3,88,1719708865,checkpoint_000003,True,True,4,adffa_00139,2024-06-29_17-54-25,2.829233407974243,26.659218549728394,444164,frank,128.111.185.22,26.659218549728394,4,gat,16377,8,2,4,0.0033567494186107936,16,StepLR,0.8,adffa_00139
